genres,id,keywords,title,overview,cast,director,combined
"['adventure', 'fantasy', 'action']",1452,"['savingtheworld', 'dccomics', 'invulnerability']",superman returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.","['brandonrouth', 'kevinspacey', 'katebosworth']",bryansinger,"[ ' s a v i n g t h e w o r l d ' ,   ' d c c o m i c s ' ,   ' i n v u l n e r a b i l i t y ' ] [ ' b r a n d o n r o u t h ' ,   ' k e v i n s p a c e y ' ,   ' k a t e b o s w o r t h ' ] bryansinger [ ' a d v e n t u r e ' ,   ' f a n t a s y ' ,   ' a c t i o n ' ]"
"['adventure', 'action', 'thriller']",10764,"['killing', 'undercover', 'secretagent']",quantum of solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","['danielcraig', 'olgakurylenko', 'mathieuamalric']",marcforster,"[ ' k i l l i n g ' ,   ' u n d e r c o v e r ' ,   ' s e c r e t a g e n t ' ] [ ' d a n i e l c r a i g ' ,   ' o l g a k u r y l e n k o ' ,   ' m a t h i e u a m a l r i c ' ] marcforster [ ' a d v e n t u r e ' ,   ' a c t i o n ' ,   ' t h r i l l e r ' ]"
"['adventure', 'fantasy', 'action']",58,"['witch', 'fortuneteller', 'bondage']",pirates of the caribbean: dead man's chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","['johnnydepp', 'orlandobloom', 'keiraknightley']",goreverbinski,"[ ' w i t c h ' ,   ' f o r t u n e t e l l e r ' ,   ' b o n d a g e ' ] [ ' j o h n n y d e p p ' ,   ' o r l a n d o b l o o m ' ,   ' k e i r a k n i g h t l e y ' ] goreverbinski [ ' a d v e n t u r e ' ,   ' f a n t a s y ' ,   ' a c t i o n ' ]"
"['action', 'adventure', 'western']",57201,"['texas', 'horse', 'survivor']",the lone ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","['johnnydepp', 'armiehammer', 'williamfichtner']",goreverbinski,"[ ' t e x a s ' ,   ' h o r s e ' ,   ' s u r v i v o r ' ] [ ' j o h n n y d e p p ' ,   ' a r m i e h a m m e r ' ,   ' w i l l i a m f i c h t n e r ' ] goreverbinski [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' w e s t e r n ' ]"
"['action', 'adventure', 'fantasy']",49521,"['savingtheworld', 'dccomics', 'superhero']",man of steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","['henrycavill', 'amyadams', 'michaelshannon']",zacksnyder,"[ ' s a v i n g t h e w o r l d ' ,   ' d c c o m i c s ' ,   ' s u p e r h e r o ' ] [ ' h e n r y c a v i l l ' ,   ' a m y a d a m s ' ,   ' m i c h a e l s h a n n o n ' ] zacksnyder [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' f a n t a s y ' ]"
"['adventure', 'family', 'fantasy']",2454,"['basedonnovel', 'fictionalplace', 'brothersisterrelationship']",the chronicles of narnia: prince caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.","['benbarnes', 'williammoseley', 'annapopplewell']",andrewadamson,"[ ' b a s e d o n n o v e l ' ,   ' f i c t i o n a l p l a c e ' ,   ' b r o t h e r s i s t e r r e l a t i o n s h i p ' ] [ ' b e n b a r n e s ' ,   ' w i l l i a m m o s e l e y ' ,   ' a n n a p o p p l e w e l l ' ] andrewadamson [ ' a d v e n t u r e ' ,   ' f a m i l y ' ,   ' f a n t a s y ' ]"
"['sciencefiction', 'action', 'adventure']",24428,"['newyork', 'shield', 'marvelcomic']",the avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['robertdowneyjr.', 'chrisevans', 'markruffalo']",josswhedon,"[ ' n e w y o r k ' ,   ' s h i e l d ' ,   ' m a r v e l c o m i c ' ] [ ' r o b e r t d o w n e y j r . ' ,   ' c h r i s e v a n s ' ,   ' m a r k r u f f a l o ' ] josswhedon [ ' s c i e n c e f i c t i o n ' ,   ' a c t i o n ' ,   ' a d v e n t u r e ' ]"
"['adventure', 'action', 'fantasy']",1865,"['sea', 'captain', 'mutiny']",pirates of the caribbean: on stranger tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","['johnnydepp', 'penélopecruz', 'ianmcshane']",robmarshall,"[ ' s e a ' ,   ' c a p t a i n ' ,   ' m u t i n y ' ] [ ' j o h n n y d e p p ' ,   ' p e n é l o p e c r u z ' ,   ' i a n m c s h a n e ' ] robmarshall [ ' a d v e n t u r e ' ,   ' a c t i o n ' ,   ' f a n t a s y ' ]"
"['action', 'comedy', 'sciencefiction']",41154,"['timetravel', 'timemachine', 'alien']",men in black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.","['willsmith', 'tommyleejones', 'joshbrolin']",barrysonnenfeld,"[ ' t i m e t r a v e l ' ,   ' t i m e m a c h i n e ' ,   ' a l i e n ' ] [ ' w i l l s m i t h ' ,   ' t o m m y l e e j o n e s ' ,   ' j o s h b r o l i n ' ] barrysonnenfeld [ ' a c t i o n ' ,   ' c o m e d y ' ,   ' s c i e n c e f i c t i o n ' ]"
"['action', 'adventure', 'fantasy']",122917,"['corruption', 'elves', 'dwarves']",the hobbit: the battle of the five armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.","['martinfreeman', 'ianmckellen', 'richardarmitage']",peterjackson,"[ ' c o r r u p t i o n ' ,   ' e l v e s ' ,   ' d w a r v e s ' ] [ ' m a r t i n f r e e m a n ' ,   ' i a n m c k e l l e n ' ,   ' r i c h a r d a r m i t a g e ' ] peterjackson [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' f a n t a s y ' ]"
"['action', 'adventure', 'fantasy']",1930,"['lossoffather', 'vigilante', 'serum']",the amazing spider-man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","['andrewgarfield', 'emmastone', 'rhysifans']",marcwebb,"[ ' l o s s o f f a t h e r ' ,   ' v i g i l a n t e ' ,   ' s e r u m ' ] [ ' a n d r e w g a r f i e l d ' ,   ' e m m a s t o n e ' ,   ' r h y s i f a n s ' ] marcwebb [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' f a n t a s y ' ]"
"['action', 'adventure']",20662,"['robinhood', 'archer', 'knight']",robin hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","['russellcrowe', 'cateblanchett', 'maxvonsydow']",ridleyscott,"[ ' r o b i n h o o d ' ,   ' a r c h e r ' ,   ' k n i g h t ' ] [ ' r u s s e l l c r o w e ' ,   ' c a t e b l a n c h e t t ' ,   ' m a x v o n s y d o w ' ] ridleyscott [ ' a c t i o n ' ,   ' a d v e n t u r e ' ]"
"['adventure', 'fantasy']",57158,"['elves', 'dwarves', 'orcs']",the hobbit: the desolation of smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","['martinfreeman', 'ianmckellen', 'richardarmitage']",peterjackson,"[ ' e l v e s ' ,   ' d w a r v e s ' ,   ' o r c s ' ] [ ' m a r t i n f r e e m a n ' ,   ' i a n m c k e l l e n ' ,   ' r i c h a r d a r m i t a g e ' ] peterjackson [ ' a d v e n t u r e ' ,   ' f a n t a s y ' ]"
"['adventure', 'fantasy']",2268,"['england', 'compass', 'experiment']",the golden compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","['dakotabluerichards', 'nicolekidman', 'danielcraig']",chrisweitz,"[ ' e n g l a n d ' ,   ' c o m p a s s ' ,   ' e x p e r i m e n t ' ] [ ' d a k o t a b l u e r i c h a r d s ' ,   ' n i c o l e k i d m a n ' ,   ' d a n i e l c r a i g ' ] chrisweitz [ ' a d v e n t u r e ' ,   ' f a n t a s y ' ]"
"['adventure', 'drama', 'action']",254,"['filmbusiness', 'screenplay', 'showbusiness']",king kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","['naomiwatts', 'jackblack', 'adrienbrody']",peterjackson,"[ ' f i l m b u s i n e s s ' ,   ' s c r e e n p l a y ' ,   ' s h o w b u s i n e s s ' ] [ ' n a o m i w a t t s ' ,   ' j a c k b l a c k ' ,   ' a d r i e n b r o d y ' ] peterjackson [ ' a d v e n t u r e ' ,   ' d r a m a ' ,   ' a c t i o n ' ]"
"['drama', 'romance', 'thriller']",597,"['shipwreck', 'iceberg', 'ship']",titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","['katewinslet', 'leonardodicaprio', 'francesfisher']",jamescameron,"[ ' s h i p w r e c k ' ,   ' i c e b e r g ' ,   ' s h i p ' ] [ ' k a t e w i n s l e t ' ,   ' l e o n a r d o d i c a p r i o ' ,   ' f r a n c e s f i s h e r ' ] jamescameron [ ' d r a m a ' ,   ' r o m a n c e ' ,   ' t h r i l l e r ' ]"
"['adventure', 'action', 'sciencefiction']",271110,"['civilwar', 'war', 'marvelcomic']",captain america: civil war,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","['chrisevans', 'robertdowneyjr.', 'scarlettjohansson']",anthonyrusso,"[ ' c i v i l w a r ' ,   ' w a r ' ,   ' m a r v e l c o m i c ' ] [ ' c h r i s e v a n s ' ,   ' r o b e r t d o w n e y j r . ' ,   ' s c a r l e t t j o h a n s s o n ' ] anthonyrusso [ ' a d v e n t u r e ' ,   ' a c t i o n ' ,   ' s c i e n c e f i c t i o n ' ]"
"['thriller', 'action', 'adventure']",44833,"['fight', 'u.s.navy', 'mindreading']",battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.","['taylorkitsch', 'alexanderskarsgård', 'rihanna']",peterberg,"[ ' f i g h t ' ,   ' u . s . n a v y ' ,   ' m i n d r e a d i n g ' ] [ ' t a y l o r k i t s c h ' ,   ' a l e x a n d e r s k a r s g å r d ' ,   ' r i h a n n a ' ] peterberg [ ' t h r i l l e r ' ,   ' a c t i o n ' ,   ' a d v e n t u r e ' ]"
"['action', 'adventure', 'sciencefiction']",135397,"['monster', 'dna', 'tyrannosaurusrex']",jurassic world,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","['chrispratt', 'brycedallashoward', 'irrfankhan']",colintrevorrow,"[ ' m o n s t e r ' ,   ' d n a ' ,   ' t y r a n n o s a u r u s r e x ' ] [ ' c h r i s p r a t t ' ,   ' b r y c e d a l l a s h o w a r d ' ,   ' i r r f a n k h a n ' ] colintrevorrow [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' s c i e n c e f i c t i o n ' ]"
"['action', 'adventure', 'thriller']",37724,"['spy', 'secretagent', 'sociopath']",skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.","['danielcraig', 'judidench', 'javierbardem']",sammendes,"[ ' s p y ' ,   ' s e c r e t a g e n t ' ,   ' s o c i o p a t h ' ] [ ' d a n i e l c r a i g ' ,   ' j u d i d e n c h ' ,   ' j a v i e r b a r d e m ' ] sammendes [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' t h r i l l e r ' ]"
"['action', 'adventure', 'fantasy']",558,"['dualidentity', ""loveofone'slife"", 'pizzaboy']",spider-man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.","['tobeymaguire', 'kirstendunst', 'jamesfranco']",samraimi,"[ ' d u a l i d e n t i t y ' ,   "" l o v e o f o n e ' s l i f e "" ,   ' p i z z a b o y ' ] [ ' t o b e y m a g u i r e ' ,   ' k i r s t e n d u n s t ' ,   ' j a m e s f r a n c o ' ] samraimi [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' f a n t a s y ' ]"
"['action', 'adventure', 'sciencefiction']",68721,"['terrorist', 'waronterror', 'tennessee']",iron man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","['robertdowneyjr.', 'gwynethpaltrow', 'doncheadle']",shaneblack,"[ ' t e r r o r i s t ' ,   ' w a r o n t e r r o r ' ,   ' t e n n e s s e e ' ] [ ' r o b e r t d o w n e y j r . ' ,   ' g w y n e t h p a l t r o w ' ,   ' d o n c h e a d l e ' ] shaneblack [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' s c i e n c e f i c t i o n ' ]"
"['family', 'fantasy', 'adventure']",12155,"['basedonnovel', 'fictionalplace', 'queen']",alice in wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.","['miawasikowska', 'johnnydepp', 'annehathaway']",timburton,"[ ' b a s e d o n n o v e l ' ,   ' f i c t i o n a l p l a c e ' ,   ' q u e e n ' ] [ ' m i a w a s i k o w s k a ' ,   ' j o h n n y d e p p ' ,   ' a n n e h a t h a w a y ' ] timburton [ ' f a m i l y ' ,   ' f a n t a s y ' ,   ' a d v e n t u r e ' ]"
"['adventure', 'action', 'sciencefiction']",36668,"['mutant', 'marvelcomic', 'basedoncomicbook']",x-men: the last stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.","['hughjackman', 'halleberry', 'ianmckellen']",brettratner,"[ ' m u t a n t ' ,   ' m a r v e l c o m i c ' ,   ' b a s e d o n c o m i c b o o k ' ] [ ' h u g h j a c k m a n ' ,   ' h a l l e b e r r y ' ,   ' i a n m c k e l l e n ' ] brettratner [ ' a d v e n t u r e ' ,   ' a c t i o n ' ,   ' s c i e n c e f i c t i o n ' ]"
"['animation', 'family']",62211,"['monster', 'dormitory', 'games']",monsters university,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,"['billycrystal', 'johngoodman', 'stevebuscemi']",danscanlon,"[ ' m o n s t e r ' ,   ' d o r m i t o r y ' ,   ' g a m e s ' ] [ ' b i l l y c r y s t a l ' ,   ' j o h n g o o d m a n ' ,   ' s t e v e b u s c e m i ' ] danscanlon [ ' a n i m a t i o n ' ,   ' f a m i l y ' ]"
"['sciencefiction', 'action', 'adventure']",8373,"['egypt', 'sun', 'chaos']",transformers: revenge of the fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","['shialabeouf', 'meganfox', 'joshduhamel']",michaelbay,"[ ' e g y p t ' ,   ' s u n ' ,   ' c h a o s ' ] [ ' s h i a l a b e o u f ' ,   ' m e g a n f o x ' ,   ' j o s h d u h a m e l ' ] michaelbay [ ' s c i e n c e f i c t i o n ' ,   ' a c t i o n ' ,   ' a d v e n t u r e ' ]"
"['sciencefiction', 'action', 'adventure']",91314,"['sequel', 'alien', 'transformers']",transformers: age of extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.","['markwahlberg', 'stanleytucci', 'kelseygrammer']",michaelbay,"[ ' s e q u e l ' ,   ' a l i e n ' ,   ' t r a n s f o r m e r s ' ] [ ' m a r k w a h l b e r g ' ,   ' s t a n l e y t u c c i ' ,   ' k e l s e y g r a m m e r ' ] michaelbay [ ' s c i e n c e f i c t i o n ' ,   ' a c t i o n ' ,   ' a d v e n t u r e ' ]"
"['fantasy', 'adventure', 'family']",68728,"['circus', 'witch', 'magic']",oz: the great and powerful,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.","['jamesfranco', 'milakunis', 'rachelweisz']",samraimi,"[ ' c i r c u s ' ,   ' w i t c h ' ,   ' m a g i c ' ] [ ' j a m e s f r a n c o ' ,   ' m i l a k u n i s ' ,   ' r a c h e l w e i s z ' ] samraimi [ ' f a n t a s y ' ,   ' a d v e n t u r e ' ,   ' f a m i l y ' ]"
